Road ID,Road Name,Length (km),Type,Condition,Year Built
R561,Road_561,7.2,Gravel,Poor,1980.0
nan,Road_562,2.5,Gravel,Poor,1994.0
R563,Road_563,1.8,Gravel,Fair,2016.0
nan,nan,0.6,Gravel,Poor,1992.0
R565,Road_565,3.8,nan,Poor,2019.0
R566,Road_566,6.1,Dirt,Poor,1987.0
R567,Road_567,4.2,Gravel,Poor,1984.0
R568,nan,4.7,Dirt,Good,1988.0
R569,Road_569,9.1,Asphalt,Fair,1980.0
R570,Road_570,3.8,Asphalt,Poor,2015.0
R571,nan,5.4,Asphalt,Good,2014.0
R572,Road_572,,Gravel,Good,1981.0
R573,Road_573,4.3,Asphalt,Good,2019.0
R574,Road_574,6.4,Dirt,Poor,2002.0
nan,Road_575,8.7,nan,nan,
R576,Road_576,9.5,Dirt,Fair,2013.0
R577,Road_577,1.9,Asphalt,Poor,1993.0
R578,Road_578,9.3,nan,Poor,1983.0
nan,Road_579,5.2,Asphalt,Good,2009.0
R580,nan,3.0,Gravel,Fair,
R581,Road_581,4.9,Dirt,Poor,
R582,Road_582,9.8,Gravel,Poor,1990.0
nan,Road_583,5.2,Gravel,Good,2014.0
R584,Road_584,3.6,Asphalt,Good,1987.0
R585,Road_585,6.5,Gravel,Poor,1982.0
R586,Road_586,2.8,Gravel,Fair,1993.0
R587,Road_587,1.2,Asphalt,Fair,
R588,nan,1.7,Gravel,Good,2011.0
R589,Road_589,1.7,Asphalt,Good,2013.0
R590,Road_590,1.9,nan,Poor,1998.0
R591,Road_591,1.8,Asphalt,nan,2017.0
R592,Road_592,6.6,Asphalt,Poor,1995.0
nan,Road_593,2.2,Gravel,Fair,1981.0
R594,Road_594,3.8,Asphalt,Fair,2019.0
R595,Road_595,,Asphalt,Poor,1996.0
R596,Road_596,5.0,Gravel,Good,2013.0
R597,Road_597,6.8,Gravel,Fair,2021.0
R598,Road_598,2.1,Dirt,Good,1995.0
R599,nan,2.3,Gravel,Fair,2017.0
R600,Road_600,0.9,Gravel,Poor,1981.0
R601,nan,,Dirt,Poor,1981.0
R602,Road_602,3.1,Gravel,Poor,2005.0
R603,Road_603,2.2,Gravel,Fair,1992.0
R604,Road_604,1.3,Gravel,Good,2010.0
R605,Road_605,,Gravel,Good,2013.0
R606,Road_606,4.9,Dirt,Good,2018.0
R607,nan,2.5,Gravel,Fair,1982.0
R608,Road_608,4.0,Gravel,Fair,1987.0
R609,Road_609,5.3,Dirt,Fair,2002.0
R610,Road_610,,Asphalt,Fair,1993.0
R611,Road_611,0.9,nan,nan,2006.0
nan,Road_612,8.1,Asphalt,Good,2008.0
R613,Road_613,6.5,Dirt,nan,2018.0
R614,Road_614,1.3,Dirt,Fair,2018.0
R615,Road_615,8.8,Gravel,Good,1980.0
R616,Road_616,9.2,Asphalt,Fair,1996.0
R617,nan,1.1,Gravel,Good,2020.0
R618,Road_618,3.1,nan,Good,2009.0
R619,Road_619,8.2,Dirt,Poor,1992.0
R620,Road_620,7.6,Dirt,Poor,2000.0
nan,Road_621,2.3,Asphalt,Poor,1998.0
R622,Road_622,2.5,Gravel,Poor,1998.0
R623,Road_623,4.0,Gravel,Fair,2004.0
R624,Road_624,5.1,Gravel,Poor,2001.0
nan,Road_625,6.4,Gravel,Good,
R626,Road_626,4.0,Dirt,Fair,1996.0
R627,Road_627,4.9,Dirt,Poor,
R628,Road_628,7.6,Dirt,Good,2011.0
R629,Road_629,0.8,Dirt,Fair,1989.0
R630,Road_630,2.9,Dirt,Fair,1989.0
R631,nan,7.3,Gravel,Poor,2015.0
R632,Road_632,9.0,Gravel,Fair,1987.0
R633,Road_633,5.4,Gravel,Good,1999.0
R634,Road_634,,Gravel,nan,2011.0
R635,Road_635,1.5,Dirt,Good,1993.0
R636,Road_636,4.8,Dirt,Fair,2007.0
R637,Road_637,5.6,Dirt,Poor,2003.0
nan,Road_638,2.8,Asphalt,Good,1994.0
R639,Road_639,3.1,Gravel,Fair,2001.0
R640,Road_640,4.1,Gravel,Fair,
nan,Road_641,,Dirt,Fair,
R642,Road_642,3.6,Gravel,Good,1992.0
R643,Road_643,2.5,Gravel,nan,2002.0
R644,Road_644,3.6,Dirt,Good,1987.0
R645,Road_645,1.6,nan,nan,1997.0
R646,Road_646,9.0,Asphalt,Poor,1991.0
R647,Road_647,,Asphalt,Good,2010.0
R648,Road_648,7.0,Dirt,Fair,1993.0
R649,Road_649,8.0,Gravel,nan,2013.0
R650,nan,5.2,Dirt,Good,
R651,Road_651,1.3,Dirt,Fair,2013.0
R652,Road_652,5.6,Gravel,Poor,1990.0
R653,Road_653,,Asphalt,Fair,2020.0
R654,Road_654,7.6,Asphalt,Fair,1991.0
nan,nan,4.6,Dirt,Fair,1994.0
R656,Road_656,,Asphalt,nan,
R657,Road_657,3.2,Dirt,Poor,2008.0
R658,Road_658,3.9,Dirt,Poor,2005.0
R659,Road_659,6.6,Gravel,Poor,1997.0
R660,Road_660,5.9,Gravel,Good,2011.0
R661,Road_661,3.9,nan,Poor,2001.0
R662,Road_662,9.9,Dirt,Fair,2017.0
R663,Road_663,6.3,Gravel,nan,1996.0
R664,Road_664,,Asphalt,Fair,2002.0
R665,nan,1.5,Asphalt,Good,2003.0
R666,Road_666,2.0,Dirt,Fair,1987.0
R667,Road_667,2.8,Dirt,nan,2020.0
R668,Road_668,2.0,Gravel,Fair,1985.0
R669,Road_669,2.3,Dirt,Good,1984.0
R670,Road_670,3.2,Dirt,Poor,2008.0
R671,Road_671,2.1,Asphalt,nan,
R672,nan,9.0,Asphalt,Good,1990.0
R673,Road_673,1.3,Gravel,nan,1980.0
R674,Road_674,5.5,Dirt,Poor,2022.0
R675,Road_675,4.4,Dirt,Good,1998.0
R676,Road_676,9.8,Asphalt,Poor,1988.0
R677,Road_677,1.6,Dirt,Good,2006.0
R678,Road_678,,Asphalt,Fair,2013.0
nan,Road_679,9.7,Gravel,Poor,1983.0
R680,Road_680,8.7,Asphalt,Good,2015.0
R681,Road_681,8.3,Dirt,nan,1997.0
R682,Road_682,3.0,Gravel,nan,
R683,nan,2.1,Asphalt,Poor,1992.0
R684,Road_684,6.9,Asphalt,Poor,1998.0
R685,Road_685,9.3,Gravel,Good,
R686,Road_686,5.8,Gravel,Fair,1991.0
R687,Road_687,5.9,Asphalt,Good,2016.0
R688,Road_688,3.2,nan,Good,1996.0
R689,Road_689,7.8,nan,Good,2002.0
R690,nan,,Gravel,Fair,2005.0
nan,Road_691,,Asphalt,Poor,2008.0
R692,nan,,Gravel,Poor,2012.0
nan,Road_693,5.3,Gravel,Poor,2006.0
R694,Road_694,2.8,Dirt,Fair,2004.0
R695,nan,,Gravel,Poor,1989.0
R696,Road_696,,Gravel,Fair,
R697,Road_697,3.2,nan,Poor,2000.0
R698,nan,6.0,Gravel,Poor,2000.0
R699,Road_699,,Dirt,Good,2022.0
R700,Road_700,5.1,Dirt,Fair,1992.0
R701,Road_701,5.6,Gravel,Good,2016.0
R702,Road_702,1.0,nan,Good,2012.0
R703,Road_703,3.7,Asphalt,Good,2003.0
nan,Road_704,1.8,nan,Fair,1990.0
R705,Road_705,1.1,Asphalt,Fair,1996.0
R706,Road_706,9.9,Gravel,Poor,1983.0
R707,Road_707,3.6,Asphalt,Good,2004.0
R708,Road_708,8.2,Dirt,Poor,
R709,Road_709,2.9,Asphalt,Good,1988.0
R710,Road_710,7.0,Dirt,nan,2000.0
R711,Road_711,7.7,Gravel,nan,1999.0
R712,Road_712,6.2,Gravel,Fair,1998.0
nan,Road_713,5.0,Dirt,nan,1998.0
R714,Road_714,4.4,Gravel,Fair,1991.0
R715,Road_715,3.8,Gravel,Good,2016.0
R716,Road_716,9.3,Gravel,Poor,2021.0
R717,Road_717,8.4,Gravel,nan,1996.0
R718,Road_718,9.7,Dirt,Poor,2016.0
nan,Road_719,1.7,Asphalt,Good,2018.0
R720,Road_720,7.4,Asphalt,Poor,2007.0
R721,Road_721,9.4,Gravel,Fair,2020.0
R722,Road_722,2.2,nan,Poor,2014.0
nan,nan,1.1,nan,Fair,1997.0
R724,Road_724,7.5,Gravel,Fair,1993.0
R725,Road_725,6.0,Gravel,nan,2014.0
R726,Road_726,8.5,nan,Good,2020.0
R727,nan,1.8,Dirt,Good,1986.0
R728,Road_728,8.1,Gravel,Good,2020.0
R729,Road_729,2.4,nan,Good,1992.0
R730,Road_730,2.1,Asphalt,Good,1997.0
R731,Road_731,2.1,Gravel,Fair,2016.0
R732,Road_732,8.2,Dirt,Good,1992.0
R733,Road_733,,Gravel,Fair,2015.0
R734,Road_734,5.5,Asphalt,Fair,2010.0
R735,Road_735,3.9,Dirt,Fair,1981.0
R736,Road_736,,Asphalt,Poor,1995.0
R737,Road_737,4.2,Asphalt,Poor,1988.0
R738,Road_738,8.3,Gravel,nan,1988.0
R739,Road_739,4.7,Dirt,Poor,2017.0
R740,Road_740,4.1,Asphalt,Good,
R741,Road_741,4.9,Asphalt,Good,2001.0
R742,Road_742,3.4,Dirt,nan,2012.0
R743,Road_743,7.6,Asphalt,Good,2015.0
R744,Road_744,5.3,Asphalt,Fair,2002.0
R745,Road_745,2.7,nan,Fair,2013.0
R746,Road_746,9.0,Dirt,Good,1988.0
R747,nan,4.1,nan,Poor,2003.0
R748,Road_748,5.7,Dirt,nan,1987.0
R749,Road_749,9.1,nan,Good,1986.0
R750,nan,6.4,Dirt,Fair,
R751,Road_751,1.6,nan,Fair,
R752,Road_752,9.4,Gravel,Fair,1982.0
nan,Road_753,6.5,Gravel,Fair,2007.0
R754,Road_754,3.7,Asphalt,Poor,1985.0
R755,nan,,nan,nan,2000.0
nan,Road_756,,Gravel,Poor,2007.0
R757,Road_757,6.4,Asphalt,nan,2019.0
R758,Road_758,,Asphalt,Fair,1980.0
R759,Road_759,9.0,Asphalt,Fair,2015.0
R760,Road_760,8.0,Dirt,Poor,2000.0
R761,Road_761,1.9,Asphalt,Fair,2022.0
R762,Road_762,3.5,Asphalt,Good,2014.0
nan,Road_763,2.9,Gravel,Good,
R764,Road_764,,Asphalt,Fair,1989.0
R765,Road_765,0.8,Dirt,Good,1989.0
R766,Road_766,,Asphalt,Good,1992.0
R767,nan,7.7,Dirt,Poor,2016.0
R768,Road_768,8.8,Asphalt,Fair,2017.0
R769,Road_769,3.7,Asphalt,Fair,2003.0
R770,Road_770,,Asphalt,Poor,1981.0
nan,Road_771,1.6,Asphalt,Good,2001.0
R772,Road_772,8.5,nan,nan,1996.0
R773,Road_773,1.7,Dirt,Fair,2015.0
R774,Road_774,4.3,Gravel,Good,1993.0
R775,nan,8.1,Dirt,Poor,1989.0
R776,Road_776,,Asphalt,Poor,2014.0
R777,Road_777,2.7,Gravel,Fair,2004.0
R778,Road_778,7.4,Gravel,Poor,1982.0
R779,Road_779,7.3,Gravel,Poor,2017.0
R780,Road_780,6.6,Asphalt,nan,1996.0
R781,Road_781,7.1,Dirt,Poor,
nan,Road_782,5.7,Asphalt,Poor,2003.0
R783,Road_783,2.9,Gravel,Poor,2008.0
R784,Road_784,3.8,Asphalt,Good,2022.0
R785,Road_785,,Asphalt,Fair,2004.0
R786,Road_786,,Dirt,nan,2015.0
R787,Road_787,6.0,Dirt,Fair,2005.0
R788,Road_788,,Gravel,Good,2017.0
R789,Road_789,4.9,Asphalt,Good,1980.0
R790,Road_790,9.5,Asphalt,Fair,
R791,Road_791,2.0,Dirt,Good,2007.0
R792,Road_792,6.1,Asphalt,Fair,1995.0
R793,Road_793,5.3,Asphalt,Good,1996.0
R794,Road_794,6.3,Asphalt,Poor,
R795,nan,0.7,Dirt,nan,2007.0
R796,Road_796,8.8,Gravel,Fair,1991.0
R797,Road_797,9.4,Gravel,Good,2006.0
R798,Road_798,5.9,Asphalt,Good,2021.0
R799,Road_799,7.1,Gravel,Poor,2009.0
R800,Road_800,9.3,Dirt,Poor,2020.0
R801,Road_801,7.2,Dirt,Good,2013.0
R802,Road_802,1.9,Gravel,Good,2016.0
R803,Road_803,6.0,Gravel,Good,1985.0
R804,Road_804,6.3,Asphalt,Good,1986.0
R805,Road_805,4.5,Gravel,Good,2011.0
R806,Road_806,7.5,Asphalt,Good,2011.0
R807,Road_807,9.4,nan,Fair,
R808,Road_808,,Dirt,Good,2012.0
R809,Road_809,4.8,Dirt,Poor,1986.0
R810,Road_810,1.6,nan,Fair,1991.0
nan,Road_811,9.9,Dirt,Good,1995.0
R812,Road_812,,Gravel,Poor,1995.0
R813,Road_813,1.7,Dirt,Fair,2022.0
R814,Road_814,9.2,Gravel,Poor,2015.0
R815,Road_815,,Dirt,Good,1992.0
R816,Road_816,5.4,nan,Good,1986.0
R817,Road_817,6.1,Asphalt,Good,2015.0
R818,Road_818,,Gravel,Good,1988.0
R819,Road_819,1.0,Gravel,Fair,2011.0
R820,Road_820,3.7,nan,Fair,1990.0
nan,Road_821,,Gravel,Poor,1987.0
R822,Road_822,0.5,Asphalt,Good,2012.0
R823,Road_823,3.7,Asphalt,Poor,2002.0
R824,Road_824,4.3,Dirt,Fair,2004.0
R825,Road_825,5.6,Asphalt,Good,1987.0
nan,Road_826,9.2,Gravel,Good,2001.0
R827,Road_827,3.8,Asphalt,Fair,1983.0
R828,Road_828,3.8,Dirt,Fair,
R829,Road_829,7.5,Gravel,Fair,1982.0
R830,Road_830,,Dirt,Fair,2008.0
R831,Road_831,2.6,Gravel,Fair,
R832,Road_832,4.8,Asphalt,Good,
R833,Road_833,1.8,Dirt,Fair,2013.0
R834,Road_834,2.2,Dirt,Good,2013.0
R835,Road_835,5.2,Gravel,Good,
R836,Road_836,4.5,Dirt,Fair,
R837,Road_837,9.2,Gravel,Fair,1994.0
R838,Road_838,3.9,Gravel,Good,2002.0
R839,Road_839,6.0,Gravel,Fair,2005.0
R840,Road_840,6.5,Gravel,Fair,1983.0
R841,Road_841,0.6,Asphalt,Fair,2005.0
R842,Road_842,6.8,Gravel,nan,2019.0
R843,Road_843,2.2,Dirt,nan,1988.0
R844,Road_844,,Asphalt,Poor,1984.0
R845,Road_845,1.9,Dirt,Fair,2011.0
R846,Road_846,4.4,Asphalt,Poor,1999.0
R847,Road_847,1.3,Gravel,Fair,1990.0
nan,Road_848,10.0,nan,Poor,1994.0
R849,Road_849,5.3,Asphalt,Fair,2011.0
R850,Road_850,6.2,Dirt,Poor,2007.0
R851,nan,,Dirt,Poor,2001.0
R852,Road_852,7.6,Gravel,nan,2020.0
R853,nan,2.5,Asphalt,Good,1996.0
R854,Road_854,9.0,Asphalt,Poor,
R855,nan,,Asphalt,Good,1986.0
R856,Road_856,2.3,Gravel,Fair,2021.0
R857,Road_857,0.8,nan,Poor,2005.0
R858,Road_858,5.0,Gravel,Fair,
R859,Road_859,5.9,Gravel,nan,1989.0
R860,Road_860,1.1,Gravel,Poor,1998.0
R861,Road_861,7.9,Dirt,Good,1990.0
R862,nan,4.8,Asphalt,Poor,
R863,nan,5.5,Asphalt,Fair,1987.0
nan,Road_864,4.7,Asphalt,nan,2019.0
R865,Road_865,4.3,Asphalt,Poor,
R866,nan,,Asphalt,Good,2010.0
R867,Road_867,2.0,Asphalt,Good,2007.0
R868,Road_868,2.2,Asphalt,Fair,1990.0
R869,Road_869,8.7,Asphalt,Fair,2022.0
R870,Road_870,9.5,Dirt,Good,1980.0
R871,nan,4.0,nan,Poor,2017.0
nan,Road_872,3.1,Dirt,Fair,
R873,Road_873,6.6,Gravel,Good,2010.0
R874,Road_874,4.4,Asphalt,Fair,2020.0
R875,Road_875,0.7,Gravel,Poor,2005.0
nan,nan,2.0,Gravel,Good,
R877,Road_877,7.3,Gravel,Fair,1999.0
R878,Road_878,6.8,Dirt,nan,2020.0
R879,Road_879,0.8,Gravel,Fair,1990.0
R880,Road_880,2.6,Gravel,Poor,2012.0
R881,Road_881,2.7,Gravel,Poor,
R882,Road_882,6.9,Asphalt,Good,2006.0
R883,Road_883,0.7,Asphalt,Poor,2013.0
R884,Road_884,1.5,Dirt,Fair,1994.0
R885,nan,8.1,nan,Poor,2011.0
nan,Road_886,2.2,Asphalt,Poor,2000.0
R887,Road_887,6.7,Dirt,Good,1984.0
R888,Road_888,2.8,Asphalt,Poor,1985.0
R889,Road_889,1.4,Gravel,Poor,2017.0
R890,nan,2.8,Gravel,Fair,2001.0
R891,Road_891,7.4,Dirt,Good,1997.0
R892,Road_892,,Asphalt,Good,1993.0
R893,Road_893,,Asphalt,Good,1989.0
R894,Road_894,4.3,Dirt,Poor,1992.0
R895,Road_895,6.8,Asphalt,Good,2010.0
R896,Road_896,2.4,Gravel,Poor,2009.0
R897,Road_897,3.3,Dirt,Poor,1982.0
R898,Road_898,9.0,Dirt,Fair,
R899,Road_899,0.6,Asphalt,Fair,1985.0
nan,Road_900,1.3,Dirt,Fair,2008.0
