Building ID,Building Name,Building Type,Floors,Year Built,Condition
B592,Building_592,Commercial,,1984.0,Poor
B593,Building_593,Commercial,3.0,2011.0,Good
B594,Building_594,Residential,5.0,1982.0,Fair
B595,Building_595,Residential,6.0,2014.0,Poor
B596,Building_596,Commercial,8.0,1993.0,Poor
B597,Building_597,Commercial,6.0,2010.0,Poor
B598,Building_598,Residential,3.0,2010.0,Fair
B599,Building_599,Residential,6.0,1996.0,Good
B600,nan,Residential,1.0,2003.0,Good
B601,Building_601,Residential,4.0,2002.0,Fair
B602,nan,Commercial,6.0,1997.0,Good
B603,Building_603,Residential,,1993.0,Fair
nan,Building_604,nan,3.0,1994.0,Good
B605,Building_605,Government,,1994.0,Poor
B606,Building_606,Government,7.0,,Good
nan,Building_607,Residential,1.0,2006.0,Fair
nan,Building_608,Government,2.0,1994.0,Fair
B609,Building_609,Government,,2015.0,Poor
B610,Building_610,Government,9.0,1987.0,Fair
B611,Building_611,Residential,9.0,1994.0,Good
B612,Building_612,nan,7.0,1982.0,nan
B613,Building_613,Government,3.0,1992.0,Poor
B614,Building_614,Commercial,5.0,,Fair
B615,Building_615,Government,4.0,2013.0,Poor
B616,Building_616,nan,7.0,2003.0,Good
B617,Building_617,Residential,,2019.0,Poor
B618,Building_618,Residential,,2011.0,Fair
B619,Building_619,Government,8.0,2011.0,nan
B620,Building_620,Commercial,9.0,2009.0,Fair
B621,Building_621,Residential,9.0,1992.0,nan
B622,Building_622,Residential,7.0,1980.0,Good
nan,Building_623,Government,9.0,2013.0,nan
B624,Building_624,Commercial,9.0,1994.0,Good
B625,nan,Government,3.0,,Fair
B626,nan,Residential,4.0,2008.0,Poor
B627,Building_627,Commercial,2.0,2013.0,Fair
B628,Building_628,Commercial,3.0,1997.0,Good
B629,Building_629,Residential,5.0,1986.0,Good
nan,Building_630,Commercial,5.0,2008.0,Poor
nan,nan,Commercial,6.0,2010.0,Good
nan,Building_632,Government,7.0,2004.0,Good
B633,Building_633,Residential,7.0,2017.0,Good
nan,Building_634,Residential,1.0,1993.0,Poor
B635,Building_635,Residential,2.0,,nan
nan,Building_636,Residential,9.0,2006.0,nan
B637,nan,Residential,,1981.0,Poor
B638,Building_638,Commercial,6.0,1996.0,nan
B639,Building_639,Government,1.0,2016.0,Poor
B640,nan,Residential,3.0,1993.0,Good
B641,Building_641,Government,2.0,2004.0,nan
B642,Building_642,Government,3.0,2009.0,Good
B643,Building_643,Commercial,5.0,2008.0,Fair
B644,Building_644,Residential,6.0,1999.0,Good
B645,Building_645,Commercial,9.0,2000.0,Poor
B646,Building_646,Residential,4.0,2001.0,Good
B647,Building_647,Commercial,7.0,2014.0,Fair
B648,Building_648,Government,6.0,2016.0,Good
B649,Building_649,Residential,,1995.0,Poor
B650,Building_650,Government,8.0,2022.0,Poor
B651,nan,Government,7.0,1996.0,Fair
B652,Building_652,Commercial,7.0,1995.0,Poor
B653,Building_653,Residential,8.0,1981.0,Good
nan,Building_654,Government,1.0,1983.0,Good
B655,Building_655,Commercial,1.0,2000.0,Good
B656,Building_656,Residential,8.0,2018.0,Poor
B657,Building_657,Residential,4.0,2013.0,Good
nan,Building_658,Government,5.0,,Good
B659,Building_659,Residential,8.0,1985.0,Good
B660,Building_660,Government,5.0,1996.0,Fair
B661,Building_661,Residential,,2018.0,nan
B662,Building_662,Commercial,6.0,,Poor
B663,Building_663,Government,5.0,1984.0,Poor
B664,Building_664,nan,7.0,1984.0,Fair
B665,Building_665,Residential,7.0,1999.0,Poor
B666,Building_666,Residential,4.0,,Fair
nan,nan,Government,5.0,2020.0,Fair
B668,Building_668,Residential,3.0,2016.0,Poor
B669,Building_669,Commercial,4.0,2019.0,Good
B670,nan,Residential,4.0,1988.0,Good
B671,Building_671,Commercial,3.0,1984.0,Poor
B672,Building_672,Commercial,,2021.0,Poor
B673,Building_673,nan,,1981.0,Fair
B674,Building_674,Commercial,,1988.0,Poor
nan,Building_675,Commercial,4.0,2022.0,Fair
B676,nan,Residential,,2015.0,nan
B677,Building_677,Commercial,9.0,2001.0,Good
B678,nan,Residential,6.0,2001.0,nan
B679,Building_679,Commercial,,2001.0,Poor
B680,Building_680,Government,2.0,2013.0,Fair
B681,Building_681,Commercial,6.0,2008.0,Good
B682,Building_682,Government,2.0,2017.0,Fair
B683,Building_683,nan,5.0,2012.0,nan
B684,Building_684,Commercial,6.0,1997.0,Poor
B685,Building_685,Commercial,4.0,1986.0,Good
nan,Building_686,Government,3.0,,Poor
B687,Building_687,nan,7.0,2012.0,Good
B688,Building_688,Commercial,2.0,1980.0,nan
B689,Building_689,Residential,,2003.0,nan
B690,nan,Commercial,4.0,1983.0,Good
B691,Building_691,Government,6.0,,Fair
B692,Building_692,Commercial,4.0,1997.0,Good
B693,Building_693,nan,4.0,,Good
B694,Building_694,Government,4.0,2022.0,Poor
B695,Building_695,Government,9.0,2011.0,Fair
B696,Building_696,Commercial,,2012.0,Good
B697,Building_697,Government,,2007.0,Fair
B698,nan,Government,3.0,2021.0,Fair
B699,Building_699,Commercial,6.0,2020.0,Good
B700,Building_700,Government,6.0,,Poor
B701,Building_701,Commercial,4.0,1985.0,Fair
B702,Building_702,Government,9.0,,Good
B703,Building_703,Residential,4.0,2013.0,Fair
B704,Building_704,Residential,9.0,2002.0,Poor
B705,Building_705,Government,4.0,2021.0,Poor
B706,Building_706,Residential,2.0,2003.0,Poor
B707,Building_707,Commercial,,1992.0,Good
B708,Building_708,Residential,5.0,1997.0,Good
B709,nan,Government,4.0,1992.0,Poor
B710,Building_710,Government,,,Good
B711,Building_711,Commercial,5.0,2022.0,Poor
B712,Building_712,Government,6.0,2018.0,Good
B713,nan,Commercial,4.0,2021.0,Poor
nan,Building_714,Residential,2.0,1996.0,Fair
B715,Building_715,Residential,,,Poor
B716,Building_716,Commercial,7.0,1997.0,Poor
B717,Building_717,Commercial,4.0,2002.0,Good
B718,Building_718,Government,3.0,2009.0,Good
B719,Building_719,Residential,3.0,2013.0,Good
B720,Building_720,Commercial,,1983.0,nan
B721,Building_721,Residential,5.0,1982.0,Good
B722,Building_722,Commercial,3.0,1986.0,Good
B723,Building_723,Residential,5.0,,Fair
B724,Building_724,Government,2.0,2021.0,Poor
B725,Building_725,Residential,,1986.0,Poor
B726,Building_726,Residential,2.0,2019.0,Poor
B727,Building_727,nan,2.0,1985.0,Fair
nan,Building_728,Residential,8.0,2001.0,Poor
nan,Building_729,Residential,1.0,,Fair
nan,Building_730,Government,7.0,1983.0,Fair
B731,Building_731,Commercial,5.0,2022.0,Fair
B732,Building_732,Residential,8.0,2008.0,Poor
B733,Building_733,nan,1.0,2000.0,Fair
B734,Building_734,Residential,7.0,2005.0,Poor
nan,Building_735,nan,5.0,1993.0,Poor
B736,Building_736,Commercial,4.0,1988.0,Good
B737,Building_737,Residential,7.0,1991.0,Good
B738,Building_738,Government,2.0,,Fair
B739,Building_739,Government,1.0,,Fair
B740,Building_740,Commercial,1.0,1999.0,Poor
B741,Building_741,Residential,1.0,2003.0,Fair
B742,nan,Government,5.0,2006.0,nan
B743,Building_743,Residential,7.0,2017.0,Poor
nan,Building_744,Residential,2.0,1987.0,Fair
B745,Building_745,Residential,,1980.0,Fair
B746,Building_746,Commercial,4.0,2003.0,Poor
B747,Building_747,Residential,3.0,1986.0,Poor
B748,Building_748,Government,8.0,1998.0,Good
B749,Building_749,Residential,2.0,2001.0,Poor
B750,Building_750,Government,3.0,,Good
B751,Building_751,Residential,3.0,2009.0,Fair
B752,Building_752,Government,1.0,2008.0,Poor
B753,Building_753,Government,6.0,,Poor
B754,Building_754,Residential,2.0,1990.0,Poor
B755,Building_755,nan,1.0,1999.0,Fair
B756,nan,Government,2.0,2008.0,Good
B757,Building_757,Commercial,6.0,,Fair
B758,Building_758,Residential,4.0,2021.0,Fair
B759,Building_759,Commercial,6.0,2013.0,Poor
B760,Building_760,nan,9.0,1980.0,Good
B761,Building_761,Residential,8.0,2010.0,Fair
B762,Building_762,Residential,1.0,2009.0,Poor
B763,Building_763,Residential,8.0,1997.0,Fair
B764,Building_764,Commercial,9.0,1996.0,Fair
B765,Building_765,Residential,6.0,2017.0,Poor
B766,Building_766,Government,5.0,1993.0,Poor
B767,nan,Government,6.0,2002.0,Good
B768,Building_768,Commercial,,2004.0,Fair
B769,Building_769,Residential,9.0,1994.0,Poor
B770,Building_770,Government,4.0,,Poor
B771,Building_771,Commercial,2.0,1982.0,Good
B772,Building_772,Residential,9.0,1998.0,Good
B773,Building_773,Government,2.0,2013.0,nan
B774,Building_774,Government,9.0,2014.0,Good
B775,Building_775,Commercial,2.0,1980.0,Poor
B776,Building_776,Residential,8.0,2000.0,Fair
B777,Building_777,nan,9.0,2008.0,Good
B778,Building_778,Government,9.0,1985.0,Fair
B779,Building_779,Government,9.0,,Fair
B780,Building_780,Government,2.0,1980.0,Fair
B781,Building_781,nan,4.0,1980.0,Poor
nan,Building_782,Commercial,7.0,2006.0,Fair
nan,Building_783,nan,2.0,,Fair
nan,Building_784,Residential,1.0,1995.0,Fair
B785,Building_785,Commercial,3.0,2019.0,Poor
B786,Building_786,Government,4.0,2005.0,Fair
nan,Building_787,Commercial,8.0,1995.0,Fair
B788,Building_788,Commercial,6.0,2007.0,Good
B789,Building_789,Commercial,2.0,1980.0,Poor
B790,Building_790,Government,,2015.0,Fair
B791,Building_791,Residential,,1989.0,Good
nan,Building_792,Government,5.0,2022.0,Poor
B793,nan,Residential,4.0,1996.0,Poor
B794,Building_794,Residential,7.0,2002.0,Poor
nan,nan,Residential,8.0,1986.0,Poor
B796,Building_796,Commercial,5.0,1986.0,Poor
B797,Building_797,nan,5.0,1994.0,Poor
B798,nan,Residential,2.0,2013.0,Fair
B799,Building_799,Residential,8.0,1983.0,Fair
B800,Building_800,Commercial,2.0,1993.0,Fair
B801,Building_801,Government,6.0,1993.0,Fair
B802,Building_802,Residential,8.0,1995.0,Good
nan,Building_803,Government,6.0,1986.0,Fair
B804,Building_804,Commercial,4.0,2011.0,Poor
B805,Building_805,nan,4.0,1998.0,Fair
B806,Building_806,Government,6.0,1981.0,Fair
B807,Building_807,Government,,1989.0,Poor
nan,Building_808,Government,8.0,1996.0,Fair
B809,Building_809,Commercial,9.0,2016.0,Fair
B810,Building_810,nan,1.0,1991.0,Fair
B811,Building_811,Government,4.0,1985.0,Good
B812,Building_812,Government,4.0,2001.0,nan
B813,Building_813,nan,,2011.0,Poor
B814,Building_814,Government,6.0,2020.0,Poor
B815,Building_815,nan,3.0,1999.0,Fair
B816,Building_816,Commercial,7.0,1980.0,Fair
B817,Building_817,Government,5.0,,Fair
B818,Building_818,Government,4.0,1998.0,Poor
B819,Building_819,Government,5.0,1997.0,Poor
B820,Building_820,Commercial,,,Good
B821,nan,Government,3.0,2012.0,Good
B822,Building_822,Commercial,7.0,2002.0,nan
B823,Building_823,Commercial,6.0,2002.0,Poor
B824,Building_824,Residential,1.0,2005.0,Good
B825,Building_825,Residential,7.0,1992.0,Fair
B826,Building_826,Government,7.0,1986.0,Fair
B827,Building_827,Commercial,1.0,1994.0,Poor
B828,Building_828,Residential,9.0,,Good
B829,Building_829,Government,6.0,2005.0,Fair
nan,Building_830,nan,2.0,2012.0,Poor
B831,Building_831,Residential,5.0,1994.0,Good
B832,Building_832,Commercial,4.0,2015.0,Fair
B833,Building_833,Commercial,7.0,2006.0,Good
B834,Building_834,Residential,8.0,1984.0,Poor
B835,Building_835,nan,1.0,1981.0,Good
B836,Building_836,Commercial,5.0,2012.0,Poor
B837,Building_837,Government,3.0,,Good
B838,Building_838,nan,1.0,2002.0,Fair
nan,Building_839,Residential,3.0,2017.0,Poor
B840,Building_840,Government,6.0,1995.0,Poor
B841,Building_841,Residential,7.0,1993.0,Poor
B842,Building_842,Government,8.0,,Good
B843,Building_843,Residential,4.0,2005.0,Good
B844,Building_844,Government,3.0,2014.0,Fair
B845,Building_845,Government,5.0,,Poor
B846,nan,Residential,9.0,1982.0,Poor
B847,Building_847,Government,6.0,2002.0,Good
B848,Building_848,Commercial,9.0,2008.0,Good
B849,Building_849,Residential,6.0,2013.0,nan
B850,Building_850,Commercial,2.0,,Fair
B851,Building_851,Residential,,2020.0,Good
B852,Building_852,Government,9.0,2020.0,Poor
B853,Building_853,Government,8.0,2002.0,Fair
B854,Building_854,Government,7.0,1986.0,Good
B855,nan,Residential,1.0,1982.0,Good
B856,Building_856,Commercial,4.0,2011.0,Poor
B857,Building_857,Commercial,7.0,2010.0,Good
B858,Building_858,Residential,7.0,1997.0,Good
B859,Building_859,Residential,6.0,2022.0,Fair
B860,Building_860,Commercial,8.0,1986.0,Good
B861,Building_861,nan,,2020.0,Good
B862,Building_862,Commercial,3.0,,Fair
B863,Building_863,nan,4.0,1993.0,Poor
B864,Building_864,Residential,3.0,2011.0,Poor
B865,Building_865,Residential,1.0,1985.0,nan
B866,Building_866,Government,5.0,2018.0,Fair
B867,Building_867,Commercial,1.0,,Poor
B868,nan,Government,1.0,1986.0,Poor
B869,Building_869,nan,2.0,2005.0,Poor
B870,nan,Residential,4.0,2013.0,nan
nan,Building_871,nan,6.0,2009.0,Poor
B872,Building_872,Commercial,8.0,2015.0,Fair
B873,Building_873,Commercial,3.0,2000.0,Good
B874,Building_874,Commercial,1.0,1996.0,Poor
nan,nan,Commercial,3.0,2012.0,Poor
B876,Building_876,Government,3.0,1989.0,nan
B877,Building_877,Government,,2021.0,Good
B878,Building_878,Residential,4.0,1991.0,Good
nan,Building_879,Commercial,,1995.0,nan
B880,Building_880,Commercial,9.0,2020.0,Good
B881,Building_881,Commercial,7.0,2011.0,Good
B882,Building_882,Government,4.0,1994.0,Fair
B883,Building_883,Commercial,3.0,2006.0,Good
nan,Building_884,Government,6.0,2007.0,Good
B885,Building_885,Commercial,3.0,1996.0,Fair
B886,nan,Commercial,6.0,1981.0,Good
B887,Building_887,nan,9.0,2015.0,Poor
B888,nan,Commercial,6.0,1986.0,nan
B889,nan,Commercial,4.0,1992.0,Good
B890,Building_890,Residential,5.0,1994.0,Fair
B891,nan,Government,6.0,2004.0,Poor
nan,Building_892,Government,3.0,2002.0,Fair
nan,Building_893,Commercial,8.0,2001.0,Poor
B894,Building_894,Government,4.0,2005.0,Good
B895,Building_895,nan,8.0,2012.0,Fair
B896,Building_896,Residential,3.0,1990.0,Fair
B897,Building_897,Residential,7.0,1989.0,nan
B898,Building_898,Commercial,9.0,2004.0,nan
B899,Building_899,Residential,4.0,2016.0,Poor
nan,Building_900,Residential,8.0,2022.0,Poor
